254,254,254,
0,0,0,
254,0,0,
254,254,0,
0,0,254,
255,0,255,
0,255,255,
0,255,0,
85,85,85,
198,113,113,
113,198,113,
142,142,56,
113,113,198,
142,56,142,
56,142,142,
170,170,170,
76,113,158,
73,91,91,
35,43,43,
164,173,173,
0,55,91,
115,145,165,
255,191,0,
0,24,40,
153,145,58,
193,193,193,
39,39,39,
232,232,232,
112,112,112,
190,190,190,
185,142,142,
114,156,156,
86,128,171,
226,208,208,
102,78,78,
213,213,213,
153,153,153,
0,0,63,
214,214,214,
173,173,173,
204,204,204,
115,115,115,
76,76,76,
128,128,128,
239,239,239,
141,227,141,
155,155,155,
134,227,227,
156,156,156,
191,191,191,
131,131,131,
53,53,53,
176,0,0,
33,33,33,
8,91,8,
187,187,187,
93,93,93,
107,107,107,
7,7,7,
22,22,22,
45,45,45,
73,73,73,
146,146,146,
125,125,125,
0,0,176,
0,91,0,
105,32,172,
178,192,220,
198,213,226,
139,153,181,
55,5,29,
142,130,154,
255,0,102,
255,56,131,
255,161,181,
255,153,0,
168,97,12,
135,61,56,
109,211,57,
171,77,0,
5,122,11,
204,255,102,
255,102,204,
25,39,133,
140,255,216,
173,217,121,
99,61,255,
106,169,216,
198,101,255,
204,102,102,
249,198,100,
46,140,104,
53,70,30,
166,36,161,
57,70,175,
162,0,255,
125,168,175,
204,153,255,
255,204,153,
177,177,21,
185,109,173,
194,206,255,
155,46,255,
236,9,73,
255,243,82,
255,166,35,
255,240,98,
148,144,84,
173,236,192,
40,167,167,
102,200,143,
255,85,71,
67,255,63,
100,108,5,
99,165,179,
189,50,90,
25,26,61,
117,107,208,
211,255,216,
82,222,197,
204,204,51,
255,51,51,
21,61,193,
218,48,185,
27,87,111,
80,80,80,
93,88,203,
211,170,217,
114,229,88,
147,181,255,
44,89,162,
88,37,47,
39,67,115,
218,153,64,
155,94,170,
43,165,64,
44,69,216,
181,255,97,
27,51,167,
146,137,226,
86,129,185,
153,90,255,
94,146,183,
190,81,44,
149,86,66,
111,55,188,
207,106,193,
39,8,154,
76,58,255,
91,89,165,
225,225,225,
159,40,108,
235,255,215,
43,26,106,
110,89,179,
254,254,254,
252,252,252,
249,249,249,
247,247,247,
244,244,244,
242,242,242,
239,239,239,
237,237,237,
234,234,234,
232,232,232,
229,229,229,
226,226,226,
224,224,224,
221,221,221,
219,219,219,
216,216,216,
214,214,214,
211,211,211,
209,209,209,
206,206,206,
204,204,204,
201,201,201,
198,198,198,
196,196,196,
193,193,193,
191,191,191,
188,188,188,
186,186,186,
183,183,183,
181,181,181,
178,178,178,
175,175,175,
173,173,173,
170,170,170,
168,168,168,
165,165,165,
163,163,163,
160,160,160,
158,158,158,
155,155,155,
153,153,153,
150,150,150,
147,147,147,
145,145,145,
142,142,142,
140,140,140,
137,137,137,
135,135,135,
132,132,132,
130,130,130,
127,127,127,
124,124,124,
122,122,122,
119,119,119,
117,117,117,
114,114,114,
112,112,112,
109,109,109,
107,107,107,
104,104,104,
102,102,102,
99,99,99,
96,96,96,
94,94,94,
91,91,91,
89,89,89,
86,86,86,
84,84,84,
81,81,81,
79,79,79,
76,76,76,
73,73,73,
71,71,71,
68,68,68,
66,66,66,
63,63,63,
61,61,61,
58,58,58,
56,56,56,
53,53,53,
51,51,51,
48,48,48,
45,45,45,
43,43,43,
40,40,40,
38,38,38,
35,35,35,
33,33,33,
30,30,30,
28,28,28,
25,25,25,
22,22,22,
20,20,20,
17,17,17,
15,15,15,
12,12,12,
10,10,10,
7,7,7,
5,5,5,
2,2,2,
0,0,0
